Table S8: Differential expression test results for the identification of neuron cluster enriched genes.,,,,,,,,
gene_id,symbol,max.cluster,max.cluster.expr,cluster.2,cluster.2.expr,ratio,pval,qval
WBGene00006790,unc-55,GABAergic,327.14,Cholinergic_(11),179.76,1.81,0.036164112,0.131597186
WBGene00010236,F58B4.3,ASG,5466.24,ASEL,2354.40,2.32,0.038024216,0.137276402
WBGene00000096,ahr-1,SDQ/ALN/PLN,1473.31,URX/AQR/PQR,577.02,2.55,0.038011562,0.137276402
WBGene00008761,F13E9.12,Cluster_27,947.78,flp-1(+),261.81,3.61,0.038818254,0.139593487
WBGene00008484,E04D5.5,BAG,777.15,Cluster_25,246.64,3.14,0.039505318,0.141509283
WBGene00001587,ggr-2,Dopaminergic,812.59,Cholinergic_(3),364.01,2.23,0.039715274,0.141707806
WBGene00015729,C13A10.2,ASER,2516.24,GABAergic,927.92,2.71,0.041124764,0.14616825
WBGene00008989,F20G2.6,Cluster_16,981.68,Cluster_21,377.21,2.60,0.042492832,0.150447595
WBGene00011471,T05C12.8,Cluster_21,1764.35,Cluster_16,916.76,1.92,0.043203967,0.15237707
WBGene00016679,C45G9.8,Cholinergic_(29),201.48,Cholinergic_(3),42.52,4.63,0.044850972,0.157579851
WBGene00007411,C07C7.1,flp-1(+),463.16,Cluster_13,53.94,8.43,0.046571302,0.162999556
WBGene00001512,gab-1,Cluster_40,3323.13,Cholinergic_(24),1116.72,2.97,0.046755388,0.163021637
WBGene00009315,F32B4.5,RIA,1141.25,Cholinergic_(24),499.79,2.28,0.047208165,0.163976846
WBGene00016109,C25G6.4,Pharyngeal_(37),1396.55,Pharyngeal_(33),545.59,2.56,0.048145406,0.166601274
WBGene00006632,tsp-6,ASK,3825.02,Cluster_21,1948.52,1.96,0.048709794,0.167920605
WBGene00017040,D1079.1,GABAergic,294.10,PVC/PVD,73.78,3.93,0.048999656,0.168287209
WBGene00014248,ZK1307.7,Cluster_13,2905.69,Cluster_17,1162.72,2.50,0.049757277,0.17025158
WBGene00001989,hot-4,PVC/PVD,1109.12,ASI/ASJ,582.13,1.90,0.050499534,0.172148968
WBGene00206461,Y47D3A.34,Cholinergic_(3),437.77,Pharyngeal_(33),45.42,9.43,0.051408813,0.17459956
WBGene00006982,zig-5,ASK,3662.61,Cluster_17,1822.06,2.01,0.052352486,0.176497168
WBGene00021275,dmsr-2,Cholinergic_(23),3594.51,RIC,1401.35,2.56,0.052223515,0.176497168
WBGene00022374,nhr-277,AWA,2456.79,ASEL,859.05,2.86,0.056999788,0.190610476
WBGene00012178,glb-27,Cluster_21,1676.44,DVA,769.52,2.18,0.056993391,0.190610476
WBGene00016184,glb-9,PVC/PVD,867.17,RIA,402.56,2.15,0.057162357,0.190610476
WBGene00013195,Y54E2A.10,GABAergic,544.62,Cluster_21,150.80,3.59,0.059146662,0.19651264
WBGene00044122,T28B8.6,Cholinergic_(23),649.82,Cluster_16,97.85,6.57,0.059470053,0.196873787
WBGene00005172,srg-15,Cluster_21,439.39,Cluster_16,116.19,3.75,0.060165087,0.198458217
WBGene00015706,C12D5.3,flp-1(+),706.53,ASK,293.40,2.40,0.063661554,0.209238872
WBGene00006744,unc-4,Cluster_5,691.65,Pharyngeal_(37),223.10,3.09,0.064114775,0.209975888
WBGene00001990,hot-5,Cholinergic_(24),531.14,Cholinergic_(26),227.92,2.32,0.064855619,0.211646273
WBGene00018136,F37A4.6,AFD,922.29,AWB/AWC,57.79,15.69,0.066296449,0.214819237
WBGene00044640,B0432.14,flp-1(+),737.84,RIA,293.95,2.50,0.066288535,0.214819237
WBGene00016363,srab-4,AWB/AWC,388.87,Cholinergic_(24),77.14,4.98,0.067442871,0.217764483
WBGene00017671,pgal-1,Pharyngeal_(33),16249.26,Cluster_13,9032.84,1.80,0.068082492,0.219058404
WBGene00000950,deg-1,GABAergic,1274.51,PVC/PVD,779.03,1.63,0.068598057,0.219945519
WBGene00001171,egl-2,Cholinergic_(15),4760.68,URX/AQR/PQR,2499.33,1.90,0.068909478,0.220174187
WBGene00017113,srz-24,Cluster_21,344.49,URX/AQR/PQR,90.93,3.75,0.069889472,0.222530022
WBGene00013899,ZC443.4,Cluster_17,2537.87,ASI/ASJ,1323.11,1.92,0.072620297,0.230424955
WBGene00007006,npr-3,Cholinergic_(35),1967.94,Cluster_17,754.68,2.60,0.073962895,0.23311153
WBGene00022530,ZC155.2,Cholinergic_(11),51.82,GABAergic,10.65,4.45,0.073975415,0.23311153
WBGene00044477,F49F1.14,GABAergic,89.17,Cholinergic_(11),23.11,3.70,0.074720532,0.234653179
WBGene00004256,pxn-1,GABAergic,4260.59,SDQ/ALN/PLN,2940.82,1.45,0.075353984,0.23546611
WBGene00015707,C12D5.4,ASK,1034.05,ASI/ASJ,357.93,2.88,0.075492951,0.23546611
WBGene00006747,unc-7,Cholinergic_(24),2983.10,Touch_receptor,2083.55,1.43,0.077223983,0.238432298
WBGene00008342,frpr-5,Cholinergic_(35),2042.35,Cholinergic_(24),931.46,2.19,0.076805538,0.238432298
WBGene00006657,twk-2,Cholinergic_(24),1637.21,Touch_receptor,1062.26,1.54,0.076989758,0.238432298
WBGene00010735,frpr-15,AFD,1423.98,Cluster_21,510.93,2.78,0.078371919,0.241164596
WBGene00020657,lgc-53,RIC,1376.32,Cluster_10,391.05,3.51,0.08167941,0.250501735
WBGene00006811,unc-79,SDQ/ALN/PLN,2918.62,Cholinergic_(36),1809.81,1.61,0.083150254,0.254162611
WBGene00007502,glb-4,URX/AQR/PQR,744.30,Cluster_17,225.37,3.29,0.083617255,0.254740941
WBGene00021027,W04C9.5,Cluster_5,1061.95,Cholinergic_(36),455.93,2.32,0.084763644,0.255793349
WBGene00007845,C31E10.4,ASI/ASJ,380.66,AWB/AWC,99.21,3.80,0.08479954,0.255793349
WBGene00013276,sre-42,Cluster_21,292.37,Cluster_16,93.87,3.08,0.084735704,0.255793349
WBGene00022454,Y110A7A.2,Touch_receptor,386.44,Cholinergic_(15),49.31,7.68,0.085685288,0.257617735
WBGene00010504,K02D3.1,flp-1(+),596.55,Cluster_16,323.68,1.84,0.089194187,0.266420422
WBGene00010109,F55C10.5,GABAergic,294.29,Cholinergic_(3),141.64,2.06,0.088921476,0.266420422
WBGene00007345,C05E7.3,Cluster_21,1047.05,Cluster_40,169.49,6.14,0.08955889,0.266641242
WBGene00011382,dop-5,Cluster_17,3304.57,RIC,1576.71,2.09,0.090691829,0.268368276
WBGene00015649,C09F5.3,Cluster_27,372.21,Cholinergic_(29),29.01,12.40,0.090724281,0.268368276
WBGene00000044,acr-5,DVA,519.13,Dopaminergic,149.21,3.46,0.091539038,0.26990771
WBGene00004740,scd-2,AWA,5198.76,ASI/ASJ,3079.38,1.69,0.094564856,0.277770214
WBGene00003889,osm-9,AWA,2099.60,Cluster_21,1078.37,1.95,0.094811425,0.277770214
WBGene00013159,Y53F4B.12,Cholinergic_(23),1046.49,Cholinergic_(11),369.48,2.82,0.097967895,0.286103693
WBGene00008382,D1081.4,Cholinergic_(15),848.88,SDQ/ALN/PLN,294.84,2.87,0.100261044,0.29187104
WBGene00015303,rga-6,Cluster_21,3442.52,ASER,1673.23,2.06,0.102580618,0.297678565
WBGene00000166,apt-9,BAG,798.71,Cluster_16,310.25,2.57,0.10361241,0.299724228
WBGene00014255,ZK1320.5,ASK,492.05,Cluster_21,119.14,4.10,0.107168093,0.309035036
WBGene00008656,lron-5,Cholinergic_(26),379.20,Cholinergic_(11),235.41,1.60,0.111262251,0.319835374
WBGene00003839,ocr-2,Cluster_16,2408.54,Cluster_21,1493.18,1.61,0.111898985,0.320660529
WBGene00195143,C16D2.2,ASER,1572.93,ASEL,516.20,3.04,0.112591353,0.321639472
WBGene00000952,del-1,PVC/PVD,841.15,DVA,417.04,2.01,0.118929359,0.338690131
WBGene00005542,sri-30,Cluster_21,452.71,Cluster_16,177.75,2.53,0.119399059,0.33870923
WBGene00018002,twk-47,flp-1(+),392.35,Cluster_13,67.14,5.76,0.119674799,0.33870923
WBGene00007487,C09G1.5,ASER,7376.95,ASEL,3822.99,1.93,0.126666497,0.357394392
WBGene00000060,acr-21,Cluster_10,444.02,RIA,111.22,3.96,0.127247506,0.357932403
WBGene00010986,sprr-1,Cholinergic_(35),1659.56,Cholinergic_(36),749.09,2.21,0.129558857,0.363319487
WBGene00011261,nphp-4,Cluster_16,3414.82,ASK,2080.97,1.64,0.130386367,0.364525301
WBGene00194921,ZK742.7,Cluster_13,480.37,Cholinergic_(11),90.10,5.27,0.132034894,0.368012151
WBGene00001453,flp-10,BAG,889.47,CAN,495.75,1.79,0.133483572,0.370922532
WBGene00007247,C01G12.7,Cluster_21,1947.28,Cluster_16,1271.85,1.53,0.13485819,0.373610151
WBGene00009727,lips-1,Touch_receptor,506.54,BAG,150.71,3.34,0.135486398,0.374219962
WBGene00010632,K07C5.9,Cholinergic_(35),2542.39,ASER,1029.49,2.47,0.136070814,0.374705515
WBGene00022533,cutl-19,Cluster_27,604.13,Cholinergic_(11),190.97,3.15,0.136656733,0.375192288
WBGene00008278,npr-10,Cholinergic_(24),669.90,flp-1(+),401.07,1.67,0.138278272,0.378510971
WBGene00002242,kvs-1,AWB/AWC,925.01,RIC,349.73,2.64,0.139811063,0.381567692
WBGene00015117,B0294.1,ASEL,6560.87,AWB/AWC,3790.59,1.73,0.141856511,0.386001247
WBGene00001676,gpa-14,ASI/ASJ,1187.21,Cluster_27,488.16,2.43,0.142385872,0.386295399
WBGene00014200,scrm-2,Cluster_27,486.81,Cluster_25,135.56,3.56,0.144106846,0.389811144
WBGene00003890,osm-10,Cluster_16,1209.72,ASI/ASJ,697.19,1.73,0.145359508,0.391669133
WBGene00012009,T25B9.3,AWB/AWC,581.32,Cluster_16,182.26,3.17,0.145647954,0.391669133
WBGene00001616,glr-5,RIC,2493.15,Cholinergic_(3),1432.75,1.74,0.146493163,0.392790148
WBGene00019393,irld-45,ASI/ASJ,299.94,RIC,59.50,4.96,0.150988999,0.403664467
WBGene00019873,arrd-26,Cluster_13,908.43,Cholinergic_(29),389.43,2.33,0.152813583,0.407354813
WBGene00001335,erp-1,Cluster_40,1553.40,PVC/PVD,699.48,2.22,0.153935032,0.409154854
WBGene00001452,flp-9,Cholinergic_(3),6290.73,Cholinergic_(29),5115.79,1.23,0.157559877,0.416375813
WBGene00044006,H32K21.1,Cluster_25,718.69,Cluster_10,316.91,2.26,0.157247478,0.416375813
WBGene00001586,ggr-1,Cholinergic_(26),544.41,Cluster_25,324.01,1.68,0.158631078,0.418002008
WBGene00007951,dmsr-8,Cluster_17,1712.58,Cluster_40,579.71,2.95,0.162740118,0.427600826
WBGene00008543,F07A5.4,Cluster_25,849.62,Cluster_13,352.57,2.40,0.165355359,0.43323104
WBGene00000906,daf-10,flp-1(+),3296.18,Cluster_21,2375.86,1.39,0.166645007,0.435366016
WBGene00007176,kcnl-1,Cluster_5,4645.94,BAG,2895.96,1.60,0.167316505,0.435878508
WBGene00014061,ZK673.5,Cluster_25,107.22,Pharyngeal_(37),24.11,4.27,0.171029522,0.444289156
WBGene00013959,ZK265.7,Cholinergic_(29),3439.19,SDQ/ALN/PLN,2552.87,1.35,0.17408487,0.449594778
WBGene00022647,slc-17.1,Cluster_10,1267.95,SDQ/ALN/PLN,691.82,1.83,0.173753701,0.449594778
WBGene00016979,C56G2.4,Pharyngeal_(33),513.68,Cholinergic_(3),241.36,2.12,0.174542793,0.449594778
WBGene00007316,nlp-41,Cholinergic_(23),1775.26,Cluster_40,476.75,3.72,0.176074854,0.452270703
WBGene00018871,F55C12.4,Cluster_13,900.77,Cluster_25,417.51,2.15,0.17726584,0.454058032
WBGene00022271,cpx-1,GABAergic,1063.40,Cholinergic_(3),759.40,1.40,0.17892944,0.456613752
WBGene00013957,sre-23,flp-1(+),265.06,Cluster_17,73.45,3.56,0.179259488,0.456613752
WBGene00003605,nhr-6,BAG,4442.86,RIC,2640.78,1.68,0.181632816,0.461377541
WBGene00009543,F38E11.6,ASG,2768.82,BAG,1760.09,1.57,0.183382379,0.463864811
WBGene00011545,T06G6.3,AFD,1646.87,AWB/AWC,729.55,2.25,0.183623693,0.463864811
WBGene00006777,unc-41,Cluster_40,5005.30,PVC/PVD,3063.13,1.63,0.185050946,0.465385935
WBGene00044677,ZK353.10,Pharyngeal_(33),1626.68,SDQ/ALN/PLN,979.25,1.66,0.185240857,0.465385935
WBGene00009375,F34D10.6,AFD,15424.77,ASER,8823.15,1.75,0.186948241,0.468392178
WBGene00000248,ben-1,Cluster_5,3421.85,Cholinergic_(29),2386.98,1.43,0.187974883,0.468404804
WBGene00019485,K07D4.5,Cholinergic_(29),525.42,Cholinergic_(35),166.13,3.14,0.187720657,0.468404804
WBGene00001718,grl-9,Cluster_21,210.48,Cluster_25,57.38,3.61,0.189622301,0.471229405
WBGene00000048,acr-9,GABAergic,1341.21,Cholinergic_(24),906.90,1.48,0.190578343,0.472325245
WBGene00010138,anoh-1,RIA,465.63,ASK,165.35,2.80,0.19265705,0.476190066
WBGene00044791,bnc-1,Cholinergic_(11),246.44,BAG,75.76,3.21,0.195733249,0.481199434
WBGene00000301,cav-1,Cluster_5,211.93,Cholinergic_(11),69.39,3.01,0.195655605,0.481199434
WBGene00000037,ace-3,RIC,2997.71,CAN,1998.51,1.50,0.196519602,0.481840842
WBGene00007862,C32C4.1,Cluster_17,1137.10,Cholinergic_(3),633.35,1.79,0.19822918,0.484736422
WBGene00019428,dgk-5,RIA,4793.20,ASG,3384.29,1.42,0.198982369,0.485284129
WBGene00007746,C26D10.6,Cholinergic_(36),961.96,Cholinergic_(35),476.34,2.02,0.20000221,0.486477524
WBGene00011765,frpr-17,DVA,697.79,ASK,320.74,2.17,0.207030359,0.502240316
WBGene00019479,K07C11.7,Cholinergic_(23),3036.42,flp-1(+),2014.91,1.51,0.208800839,0.503914761
WBGene00016684,C45G9.13,Cholinergic_(15),1018.26,URX/AQR/PQR,481.36,2.11,0.209534092,0.503914761
WBGene00016110,npr-11,Cluster_21,528.92,Cluster_16,228.55,2.30,0.20985067,0.503914761
WBGene00003774,nmr-1,Cholinergic_(24),498.06,Cluster_25,315.44,1.57,0.20991869,0.503914761
WBGene00018639,tbc-16,RIA,1280.90,BAG,667.67,1.92,0.211085287,0.505392188
WBGene00020712,ckr-1,Cluster_13,2767.09,AWB/AWC,1549.47,1.78,0.214542912,0.509678369
WBGene00009484,F36G3.3,ASK,1402.74,AWA,699.09,2.00,0.214377162,0.509678369
WBGene00044401,Y55B1BR.6,Cluster_25,527.79,SDQ/ALN/PLN,300.82,1.75,0.213784659,0.509678369
WBGene00021437,lgc-42,flp-1(+),318.30,ASI/ASJ,139.28,2.27,0.216879012,0.513896779
WBGene00004912,sng-1,GABAergic,898.47,Cholinergic_(29),650.62,1.38,0.219927962,0.519778199
WBGene00018560,F47D12.3,flp-1(+),286.11,SDQ/ALN/PLN,136.40,2.08,0.22256964,0.524669306
WBGene00018803,fbxa-24,AWB/AWC,1429.98,Cluster_16,846.74,1.69,0.228284907,0.536762205
WBGene00003558,nca-2,Cholinergic_(36),3571.44,Cluster_40,1861.78,1.92,0.230891277,0.540645145
WBGene00018115,F36H9.7,AFD,869.31,Cholinergic_(26),316.94,2.73,0.231115482,0.540645145
WBGene00009619,npr-6,Cholinergic_(15),1060.38,ASK,459.90,2.30,0.232776857,0.543145999
WBGene00007389,glb-3,Touch_receptor,575.28,ASEL,243.49,2.35,0.235270973,0.54757229
WBGene00017637,F20D6.8,Cluster_27,1943.94,RIC,1088.23,1.78,0.238435811,0.552847071
WBGene00012760,Y41C4A.17,AFD,780.58,RIA,225.64,3.44,0.238743119,0.552847071
WBGene00012145,nlp-46,Cluster_10,583.58,RIC,172.95,3.35,0.240824383,0.556261861
WBGene00008914,F17C11.2,DVA,3465.46,RIC,2192.54,1.58,0.242164891,0.556554398
WBGene00014100,ZK849.1,Cluster_17,252.12,Cholinergic_(29),69.37,3.58,0.241867872,0.556554398
WBGene00020642,T20H9.6,ASI/ASJ,271.44,Cluster_21,111.37,2.42,0.242894124,0.556834779
WBGene00012289,W05H12.1,AFD,4610.04,ASER,2670.99,1.73,0.245502357,0.558624469
WBGene00020777,T24E12.10,ASI/ASJ,1578.99,AWA,908.36,1.74,0.244314146,0.558624469
WBGene00009774,F46B6.9,BAG,1516.08,AWB/AWC,815.66,1.86,0.245500414,0.558624469
WBGene00044176,C30G7.2,RIC,1262.81,Cluster_5,615.70,2.05,0.247933326,0.562759555
WBGene00000057,acr-18,Cholinergic_(24),1397.82,DVA,856.22,1.63,0.248700054,0.563106048
WBGene00012967,kvs-4,AFD,2134.14,Touch_receptor,1228.12,1.74,0.254641108,0.569526575
WBGene00012372,W09H1.1,ASI/ASJ,1229.37,Cluster_21,762.50,1.61,0.254028493,0.569526575
WBGene00016096,C25E10.7,Cluster_21,1050.94,Cluster_27,605.43,1.73,0.252498606,0.569526575
WBGene00013962,ZK287.1,PVC/PVD,885.73,Pharyngeal_(37),620.61,1.42,0.253640808,0.569526575
WBGene00010297,F59A1.11,Cluster_16,494.08,BAG,199.83,2.46,0.252901703,0.569526575
WBGene00002097,ins-14,ASK,1223.64,AWA,608.39,2.01,0.256026479,0.571231827
WBGene00018590,nlp-37,flp-1(+),2195.67,Cholinergic_(23),1478.05,1.48,0.258330865,0.572196625
WBGene00012853,Y44A6D.2,GABAergic,1505.33,Cluster_5,1036.57,1.45,0.258005631,0.572196625
WBGene00022302,Y76B12C.8,RIC,1036.90,Cluster_40,299.36,3.45,0.258055075,0.572196625
WBGene00007166,fbxa-152,Cholinergic_(23),318.98,GABAergic,73.32,4.29,0.26047029,0.575545194
WBGene00015678,mcp-1,BAG,1192.34,Cholinergic_(15),576.26,2.07,0.262965013,0.579660857
WBGene00003749,nlp-11,Cluster_40,11384.68,Cluster_13,7044.23,1.62,0.266383921,0.585126914
WBGene00007607,C15C8.5,SDQ/ALN/PLN,421.06,Cholinergic_(3),244.50,1.72,0.266811691,0.585126914
WBGene00008513,F02A9.1,GABAergic,312.41,Cholinergic_(3),196.38,1.58,0.267358972,0.585126914
WBGene00022635,ZC581.9,Cholinergic_(15),1867.16,Cluster_21,1175.14,1.59,0.268192579,0.585306258
WBGene00011899,T21C12.3,Pharyngeal_(37),1160.86,Cluster_27,668.66,1.73,0.268717486,0.585306258
WBGene00017900,F28E10.1,AFD,5253.57,GABAergic,3389.70,1.55,0.270370355,0.587510938
WBGene00001440,fkh-8,Cluster_21,752.60,ASG,431.59,1.74,0.271712553,0.587642479
WBGene00044767,T23B7.3,ASER,703.24,Cluster_5,307.78,2.28,0.271210226,0.587642479
WBGene00000053,acr-14,GABAergic,427.82,Cholinergic_(24),248.58,1.71,0.272769923,0.588541223
WBGene00020506,dop-3,flp-1(+),1685.96,Cholinergic_(36),1281.16,1.31,0.276245523,0.594641184
WBGene00010146,glb-19,Cholinergic_(35),700.06,Cluster_10,241.60,2.89,0.277848379,0.595296643
WBGene00016842,npr-35,Cholinergic_(24),383.58,BAG,146.03,2.61,0.277667312,0.595296643
WBGene00006363,syd-1,RIA,1490.43,Cluster_5,952.55,1.56,0.278500948,0.595303892
WBGene00019445,frpr-12,Cluster_17,432.98,Touch_receptor,200.08,2.15,0.281231933,0.599743449
WBGene00009242,sre-6,Cluster_21,738.91,Cholinergic_(23),377.87,1.95,0.286889711,0.608976539
WBGene00013336,pnc-2,Dopaminergic,141.70,ASG,38.11,3.62,0.286493576,0.608976539
WBGene00006441,cpna-4,Cholinergic_(15),1716.10,PVC/PVD,1161.35,1.48,0.287844063,0.609591237
WBGene00013752,Y113G7A.15,flp-1(+),550.28,ASEL,255.58,2.14,0.28886001,0.610333248
WBGene00044300,D1022.9,PVC/PVD,315.71,GABAergic,198.72,1.58,0.292323009,0.616230342
WBGene00006798,unc-64,Cholinergic_(29),3070.55,GABAergic,2555.20,1.20,0.295023256,0.618114633
WBGene00003859,oig-1,DVA,877.56,Cholinergic_(24),516.99,1.69,0.295201634,0.618114633
WBGene00001672,gpa-10,ASK,527.27,CAN,288.36,1.82,0.29523905,0.618114633
WBGene00015299,C01F1.4,ASG,830.85,Cholinergic_(23),347.22,2.39,0.297330878,0.621076116
WBGene00010475,K01F9.2,RIC,1648.10,Cluster_16,1022.28,1.61,0.300055075,0.625342053
WBGene00016514,C38C3.6,ASER,899.13,Cluster_16,446.03,2.01,0.307076675,0.635199702
WBGene00011073,R07A4.2,BAG,776.63,Cluster_10,387.74,2.00,0.308941186,0.635199702
WBGene00011896,T21C9.11,AWA,665.34,RIC,229.69,2.88,0.30866019,0.635199702
WBGene00009202,aptf-4,RIA,366.90,Cholinergic_(36),160.81,2.27,0.308266866,0.635199702
WBGene00000056,acr-17,PVC/PVD,303.49,Pharyngeal_(37),186.55,1.62,0.306980707,0.635199702
WBGene00014065,ZK673.11,Cluster_25,297.74,Cholinergic_(36),143.54,2.06,0.307614553,0.635199702
WBGene00021152,mgl-3,RIA,3975.19,BAG,2852.64,1.39,0.315647571,0.644652166
WBGene00011678,T10B9.9,ASK,1033.51,Cluster_21,611.73,1.69,0.315070111,0.644652166
WBGene00022771,ZK616.1,URX/AQR/PQR,457.13,Dopaminergic,211.51,2.15,0.315513335,0.644652166
WBGene00010275,acc-1,Cluster_17,881.20,Cholinergic_(3),554.43,1.59,0.317897428,0.647804315
WBGene00045208,F13E9.15,Cluster_21,11254.13,AWA,8455.01,1.33,0.319759059,0.65015312
WBGene00001612,glr-1,Cholinergic_(3),1819.17,Cholinergic_(24),1437.00,1.27,0.323481816,0.656267312
WBGene00020997,gpa-18,ASK,2534.04,AWA,1628.50,1.56,0.32818772,0.664344679
WBGene00001202,egl-36,Pharyngeal_(33),1061.57,RIA,649.77,1.63,0.329311363,0.665150925
WBGene00008407,D2023.3,Cluster_40,1683.54,Cholinergic_(26),932.47,1.80,0.333723733,0.669595205
WBGene00194910,ZC404.15,Cholinergic_(35),698.36,Cluster_13,215.75,3.22,0.335105982,0.669595205
WBGene00002086,ins-3,ASI/ASJ,494.84,AWA,254.08,1.94,0.335162704,0.669595205
WBGene00006778,unc-42,Cholinergic_(3),379.40,Cluster_17,190.91,1.98,0.332842482,0.669595205
WBGene00010064,F54F7.2,Cholinergic_(24),260.37,ASI/ASJ,107.61,2.40,0.333984883,0.669595205
WBGene00015559,npr-17,URX/AQR/PQR,359.59,Cholinergic_(35),153.31,2.33,0.336330396,0.670467332
WBGene00015322,C02B8.3,flp-1(+),1086.26,ASK,759.11,1.43,0.337268621,0.67087923
WBGene00017320,F09G8.5,SDQ/ALN/PLN,223.92,Cholinergic_(24),81.69,2.71,0.339861636,0.674573852
WBGene00007338,C05C12.6,Dopaminergic,187.04,PVC/PVD,103.11,1.80,0.341924667,0.67720285
WBGene00010316,F59B8.1,AWB/AWC,982.72,Cluster_5,586.16,1.67,0.342925554,0.677721408
WBGene00004924,snt-4,Cluster_40,5375.89,Cluster_17,3463.37,1.55,0.347938537,0.686149759
WBGene00006748,unc-8,Cholinergic_(26),442.09,Dopaminergic,294.20,1.50,0.349150666,0.687062577
WBGene00013883,npr-13,DVA,572.97,Cholinergic_(24),326.01,1.75,0.354203817,0.695513705
WBGene00086559,Y43F8B.20,Cholinergic_(35),2173.70,Cluster_27,1319.30,1.65,0.356247359,0.698031684
WBGene00004793,shw-3,PVC/PVD,469.16,Cholinergic_(15),297.52,1.57,0.35891807,0.700915852
WBGene00010737,K10C8.4,Cluster_40,389.61,ASER,114.29,3.38,0.359248037,0.700915852
WBGene00044354,ZK418.11,ASEL,971.53,AWB/AWC,502.40,1.93,0.361100735,0.703034764
WBGene00044295,C09E7.10,DVA,321.23,Cluster_10,146.06,2.18,0.364387898,0.707931573
WBGene00010192,F57B7.2,SDQ/ALN/PLN,685.03,Cholinergic_(11),520.54,1.31,0.371805835,0.720815964
WBGene00020582,oig-8,AWA,2975.83,AFD,1818.03,1.64,0.374837658,0.721739597
WBGene00002111,ins-28,Cholinergic_(35),2081.38,Cholinergic_(23),1257.29,1.65,0.376217587,0.721739597
WBGene00022175,Y71H2AM.10,URX/AQR/PQR,1040.71,Cholinergic_(26),726.94,1.43,0.37593445,0.721739597
WBGene00003885,osm-5,URX/AQR/PQR,930.79,Dopaminergic,575.81,1.61,0.374952636,0.721739597
WBGene00012962,dmsr-5,Cluster_27,501.64,Cholinergic_(3),271.38,1.84,0.374295191,0.721739597
WBGene00013848,npr-29,Cholinergic_(35),1320.40,Cluster_13,787.12,1.68,0.379932481,0.724320343
WBGene00014210,ZK1067.4,GABAergic,1089.91,Cholinergic_(35),730.29,1.49,0.379583779,0.724320343
WBGene00005096,srd-18,AWA,457.12,Cluster_21,192.87,2.36,0.379375878,0.724320343
WBGene00006756,unc-17,Cholinergic_(23),2944.35,Cholinergic_(35),2054.72,1.43,0.381576183,0.724441739
WBGene00022584,ZC266.1,Cholinergic_(35),1529.77,flp-1(+),1086.02,1.41,0.381310588,0.724441739
WBGene00021382,Y37F4.1,RIC,809.80,Cluster_27,361.58,2.23,0.383536779,0.726479361
WBGene00016911,drn-1,Cluster_40,717.03,RIA,346.97,2.06,0.384233904,0.726479361
WBGene00000545,clp-4,Cluster_40,7493.64,Cluster_5,5284.82,1.42,0.387906705,0.731914502
WBGene00044566,T06F4.3,GABAergic,488.78,Cholinergic_(29),352.08,1.38,0.390344261,0.735001411
WBGene00000262,bra-1,ASG,1275.54,ASEL,737.16,1.73,0.392793479,0.735182484
WBGene00014175,ZK971.1,Cholinergic_(36),758.25,AWA,435.02,1.74,0.392845602,0.735182484
WBGene00001681,gpc-1,Cluster_21,513.99,Cluster_16,280.71,1.82,0.392410199,0.735182484
WBGene00012125,T28D6.5,GABAergic,855.69,Cholinergic_(26),686.12,1.25,0.396612971,0.740721169
WBGene00013914,lgc-37,Cholinergic_(24),383.53,Touch_receptor,257.16,1.49,0.399135898,0.743917923
WBGene00011381,npr-25,RIC,909.80,Cholinergic_(36),560.20,1.62,0.402451061,0.7485753
WBGene00004719,sad-1,BAG,2777.18,AFD,1943.69,1.43,0.404873215,0.750037855
WBGene00000958,dgk-1,Cluster_21,2641.12,Cholinergic_(26),2160.06,1.22,0.404118013,0.750037855
WBGene00010290,F58H1.7,Cluster_40,6840.96,Cluster_17,4807.61,1.42,0.405857708,0.750345804
WBGene00008640,F10B5.3,Cholinergic_(29),188.05,Cholinergic_(24),108.38,1.72,0.407549065,0.750970912
WBGene00020990,W03D8.9,Cholinergic_(11),23.58,AWA,0.00,23.58,0.407833712,0.750970912
WBGene00018089,F36D4.4,Cluster_17,2448.92,Cholinergic_(36),1835.47,1.33,0.411527375,0.754741206
WBGene00016149,frpr-3,RIC,381.25,URX/AQR/PQR,176.67,2.15,0.41132711,0.754741206
WBGene00007416,ceh-57,ASI/ASJ,890.49,ASG,547.47,1.62,0.413354179,0.756578408
WBGene00011289,R102.2,Cluster_21,9807.74,Cluster_16,8266.65,1.19,0.414740351,0.757221434
WBGene00021272,Y23H5B.1,RIA,509.52,DVA,271.02,1.87,0.415357013,0.757221434
WBGene00004257,pxn-2,Cluster_27,2269.38,flp-1(+),1694.62,1.34,0.420362659,0.760956575
WBGene00000980,dhs-17,Dopaminergic,771.85,Pharyngeal_(37),582.50,1.32,0.420310956,0.760956575
WBGene00002987,lim-4,Cholinergic_(26),507.08,AWB/AWC,307.49,1.64,0.418963911,0.760956575
WBGene00019370,K03H6.5,RIC,504.85,Cholinergic_(35),199.32,2.52,0.420725173,0.760956575
WBGene00018078,F35H12.6,Cluster_13,429.75,Cluster_5,181.98,2.35,0.422078631,0.761901781
WBGene00016454,C35E7.2,ASI/ASJ,1716.44,AFD,1048.29,1.64,0.425184929,0.762901548
WBGene00001175,egl-6,DVA,567.55,ASER,262.27,2.16,0.424721967,0.762901548
